X,Y,Z,XDelta,YDelta,HeadingDelta,GammaDelta
0,-1000,0,-1000,-1000,20.3490658503989,9.4764012244017
0.20175697829221,-989.646008722498,0.535323093538279,-1000,-1000,20.3490658503989,9.4764012244017
-0.668384386355626,-979.326672733279,1.07064618707656,-1000,-1000,20.3490658503989,9.4764012244017
-2.60109218967744,-969.152662619276,1.60596928061484,-1000,-1000,20.3490658503989,9.4764012244017
-5.57563894424692,-959.233090407847,2.14129237415312,-1000,-1000,20.3490658503989,9.4764012244017
-9.56012387316007,-949.674339385661,2.67661546769139,-1000,-1000,20.3490658503989,9.4764012244017
-14.5118150326009,-940.578923182189,3.21193856122967,-1000,-1000,20.3490658503989,9.4764012244017
-20.3776075941674,-932.044386353659,3.74726165476795,-1000,-1000,20.3490658503989,9.4764012244017
-27.0945933720716,-924.162258258259,4.28258474830623,-1000,-1000,20.3490658503989,9.4764012244017
-34.5907354872702,-917.017071441834,4.81790784184451,-1000,-1000,20.3490658503989,9.4764012244017
-42.7856409330334,-910.685455061488,5.35323093538279,-1000,-1000,20.3490658503989,9.4764012244017
-51.5914227565095,-905.23531306974,5.88855402892107,-1000,-1000,20.3490658503989,9.4764012244017
-60.9136426097436,-900.725095972877,6.42387712245935,-1000,-1000,20.3490658503989,9.4764012244017
-70.6523235616854,-897.203173973577,6.95920021599763,-1000,-1000,20.3490658503989,9.4764012244017
-80.7030223091964,-894.707318220604,7.49452330953591,-1000,-1000,20.3490658503989,9.4764012244017
-90.957949288041,-893.264295728946,8.02984640307419,-1000,-1000,20.3490658503989,9.4764012244017
-101.307124671136,-892.889582314708,8.56516949661246,-1000,-1000,20.3490658503989,9.4764012244017
-111.639557856458,-893.587196623425,9.10049259015074,-1000,-1000,20.3490658503989,9.4764012244017
-121.621135858071,-894.782846099566,9.61991933903792,-1000,-1000,20.3490658503989,9.4764012244017
-131.602713859683,-895.978495575707,10.1393460879251,-1000,-1000,20.3490658503989,9.4764012244017
-141.584291861296,-897.174145051849,10.6587728368123,-1000,-1000,20.3490658503989,9.4764012244017
-151.565869862909,-898.36979452799,11.1781995856994,-1000,-1000,20.3490658503989,9.4764012244017
-161.547447864522,-899.565444004131,11.6976263345866,-1000,-1000,20.3490658503989,9.4764012244017
-171.529025866135,-900.761093480273,12.2170530834738,-1000,-1000,20.3490658503989,9.4764012244017
-181.510603867748,-901.956742956414,12.736479832361,-1000,-1000,20.3490658503989,9.4764012244017
-191.49218186936,-903.152392432555,13.2559065812482,-1000,-1000,20.3490658503989,9.4764012244017
-201.473759870973,-904.348041908696,13.7753333301353,-1000,-1000,20.3490658503989,9.4764012244017
-211.455337872586,-905.543691384838,14.2947600790225,-1000,-1000,20.3490658503989,9.4764012244017
-221.436915874199,-906.739340860979,14.8141868279097,-1000,-1000,20.3490658503989,9.4764012244017
-231.418493875812,-907.93499033712,15.3336135767969,-1000,-1000,20.3490658503989,9.4764012244017
-241.400071877425,-909.130639813262,15.853040325684,-1000,-1000,20.3490658503989,9.4764012244017
-251.381649879037,-910.326289289403,16.3724670745712,-1000,-1000,20.3490658503989,9.4764012244017
-261.36322788065,-911.521938765544,16.8918938234584,-1000,-1000,20.3490658503989,9.4764012244017
-271.344805882263,-912.717588241685,17.4113205723456,-1000,-1000,20.3490658503989,9.4764012244017
-281.326383883876,-913.913237717827,17.9307473212327,-1000,-1000,20.3490658503989,9.4764012244017
-291.307961885489,-915.108887193968,18.4501740701199,-1000,-1000,20.3490658503989,9.4764012244017
-301.289539887102,-916.304536670109,18.9696008190071,-1000,-1000,20.3490658503989,9.4764012244017
-311.271117888715,-917.500186146251,19.4890275678943,-1000,-1000,20.3490658503989,9.4764012244017
-321.252695890327,-918.695835622392,20.0084543167814,-1000,-1000,20.3490658503989,9.4764012244017
-331.23427389194,-919.891485098533,20.5278810656686,-1000,-1000,20.3490658503989,9.4764012244017
-341.215851893553,-921.087134574675,21.0473078145558,-1000,-1000,20.3490658503989,9.4764012244017
-351.197429895166,-922.282784050816,21.566734563443,-1000,-1000,20.3490658503989,9.4764012244017
-361.179007896779,-923.478433526957,22.0861613123301,-1000,-1000,20.3490658503989,9.4764012244017
-371.160585898392,-924.674083003098,22.6055880612173,-1000,-1000,20.3490658503989,9.4764012244017
-381.142163900004,-925.86973247924,23.1250148101045,-1000,-1000,20.3490658503989,9.4764012244017
-391.123741901617,-927.065381955381,23.6444415589917,-1000,-1000,20.3490658503989,9.4764012244017
-401.10531990323,-928.261031431522,24.1638683078788,-1000,-1000,20.3490658503989,9.4764012244017
-411.086897904843,-929.456680907664,24.683295056766,-1000,-1000,20.3490658503989,9.4764012244017
-421.068475906456,-930.652330383805,25.2027218056532,-1000,-1000,20.3490658503989,9.4764012244017
-431.050053908068,-931.847979859946,25.7221485545404,-1000,-1000,20.3490658503989,9.4764012244017
-441.031631909681,-933.043629336088,26.2415753034275,-1000,-1000,20.3490658503989,9.4764012244017
-451.013209911294,-934.239278812229,26.7610020523147,-1000,-1000,20.3490658503989,9.4764012244017
-460.994787912907,-935.43492828837,27.2804288012019,-1000,-1000,20.3490658503989,9.4764012244017
-470.97636591452,-936.630577764511,27.7998555500891,-1000,-1000,20.3490658503989,9.4764012244017
-480.957943916133,-937.826227240653,28.3192822989763,-1000,-1000,20.3490658503989,9.4764012244017
-490.939521917745,-939.021876716794,28.8387090478634,-1000,-1000,20.3490658503989,9.4764012244017
-500.921099919358,-940.217526192935,29.3581357967506,-1000,-1000,20.3490658503989,9.4764012244017
-510.902677920971,-941.413175669077,29.8775625456378,-1000,-1000,20.3490658503989,9.4764012244017
-520.884255922584,-942.608825145218,30.396989294525,-1000,-1000,20.3490658503989,9.4764012244017
-530.865833924197,-943.804474621359,30.9164160434121,-1000,-1000,20.3490658503989,9.4764012244017
-540.84741192581,-945.0001240975,31.4358427922993,-1000,-1000,20.3490658503989,9.4764012244017
-550.828989927423,-946.195773573642,31.9552695411865,-1000,-1000,20.3490658503989,9.4764012244017
-560.810567929035,-947.391423049783,32.4746962900737,-1000,-1000,20.3490658503989,9.4764012244017
-570.792145930648,-948.587072525924,32.9941230389608,-1000,-1000,20.3490658503989,9.4764012244017
-580.773723932261,-949.782722002066,33.513549787848,-1000,-1000,20.3490658503989,9.4764012244017
-590.755301933874,-950.978371478207,34.0329765367352,-1000,-1000,20.3490658503989,9.4764012244017
-600.736879935487,-952.174020954348,34.5524032856224,-1000,-1000,20.3490658503989,9.4764012244017
-610.7184579371,-953.36967043049,35.0718300345095,-1000,-1000,20.3490658503989,9.4764012244017
-620.700035938712,-954.565319906631,35.5912567833967,-1000,-1000,20.3490658503989,9.4764012244017
-630.681613940325,-955.760969382772,36.1106835322839,-1000,-1000,20.3490658503989,9.4764012244017
-640.663191941938,-956.956618858913,36.6301102811711,-1000,-1000,20.3490658503989,9.4764012244017
-650.644769943551,-958.152268335055,37.1495370300582,-1000,-1000,20.3490658503989,9.4764012244017
-660.626347945164,-959.347917811196,37.6689637789454,-1000,-1000,20.3490658503989,9.4764012244017
-670.607925946777,-960.543567287337,38.1883905278326,-1000,-1000,20.3490658503989,9.4764012244017
-680.589503948389,-961.739216763479,38.7078172767198,-1000,-1000,20.3490658503989,9.4764012244017
-690.571081950002,-962.93486623962,39.227244025607,-1000,-1000,20.3490658503989,9.4764012244017
-700.552659951615,-964.130515715761,39.7466707744941,-1000,-1000,20.3490658503989,9.4764012244017
-710.534237953228,-965.326165191902,40.2660975233813,-1000,-1000,20.3490658503989,9.4764012244017
-720.515815954841,-966.521814668044,40.7855242722685,-1000,-1000,20.3490658503989,9.4764012244017
-730.497393956453,-967.717464144185,41.3049510211556,-1000,-1000,20.3490658503989,9.4764012244017
-740.478971958066,-968.913113620326,41.8243777700428,-1000,-1000,20.3490658503989,9.4764012244017
-750.460549959679,-970.108763096468,42.34380451893,-1000,-1000,20.3490658503989,9.4764012244017
-760.442127961292,-971.304412572609,42.8632312678172,-1000,-1000,20.3490658503989,9.4764012244017
-770.423705962905,-972.50006204875,43.3826580167044,-1000,-1000,20.3490658503989,9.4764012244017
